Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,agebyyrbuilt,agebyyrremodel,OA2,TotalGrBsmtSF
1471,120,RH,26,5858,Pave,No Alley Access,IR1,Lvl,AllPub,FR2,Gtl,Names,Norm,Norm,TwnhsE,1Story,7,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,354,1405,GasA,Ex,Y,SBrkr,1337,0,1337,2388,1,2,3,2,1,Gd,6,5,Typ,1,Fa,Attchd,1999,Fin,2,TA,TA,Y,203,68,68,0,No Pool,No Fence,None,0,6,2010,WD,Normal,11,11,3253,2742
1472,160,RM,21,1680,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsI,2Story,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,327,483,GasA,TA,Y,SBrkr,483,504,987,1143,0,1.5,1.5,2,1,TA,5,5,Typ,0,No Fireplace,Detchd,1971,Unf,1,TA,TA,Y,275,0,0,0,No Pool,No Fence,None,0,2,2010,COD,Normal,39,39,2238,1470
1473,160,RM,21,1680,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsI,2Story,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,225,525,GasA,TA,Y,SBrkr,525,567,1092,1392,0,1.5,1.5,3,1,TA,6,6,Typ,0,No Fireplace,Detchd,1997,Unf,1,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,3,2010,WD,Normal,39,39,2429,1617
1474,160,RL,24,2280,Pave,No Alley Access,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,TwnhsI,2Story,6,1975,1975,Gable,CompShg,Plywood,BrkComm,None,0,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,341,855,GasA,TA,Y,SBrkr,855,601,1456,1970,0,2.5,2.5,3,1,Gd,7,6,Typ,1,TA,Attchd,1975,Unf,2,TA,TA,Y,173,0,0,0,No Pool,No Fence,None,0,6,2010,WD,Normal,35,35,2751,2311
1475,120,RL,24,2280,Pave,No Alley Access,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,TwnhsI,1Story,7,1975,1975,Gable,CompShg,Plywood,BrkComm,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,836,836,GasA,Ex,Y,SBrkr,836,0,836,836,0,1,1,2,1,TA,4,4,Typ,0,No Fireplace,Attchd,1975,Unf,1,TA,TA,Y,0,30,30,0,No Pool,No Fence,None,0,6,2010,WD,Normal,35,35,1980,1672
1476,60,RL,102,12858,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,1590,1590,GasA,Ex,Y,SBrkr,1627,707,2334,2334,0,2.5,2.5,3,1,Ex,7,10,Typ,1,Gd,Attchd,2009,Fin,3,TA,TA,Y,144,133,133,0,No Pool,No Fence,None,0,1,2010,New,Partial,1,0,4837,3924
1477,20,RL,94,12883,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1544,1544,GasA,Ex,Y,SBrkr,1544,0,1544,1544,0,2,2,3,1,Gd,6,7,Typ,0,No Fireplace,Attchd,2009,RFn,3,TA,TA,Y,0,35,35,0,No Pool,No Fence,None,0,6,2010,New,Partial,1,0,4212,3088
1478,20,RL,90,11520,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,1588,1698,GasA,Ex,Y,SBrkr,1698,0,1698,1808,0,2,2,3,1,Ex,6,7,Typ,1,Gd,Attchd,2005,Fin,3,TA,TA,Y,192,74,74,0,No Pool,No Fence,None,0,6,2010,WD,Normal,5,5,4741,3396
1479,20,RL,79,14122,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2005,2006,Hip,CompShg,CemntBd,CemntBd,BrkFace,240,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,1794,1822,GasA,Ex,Y,SBrkr,1822,0,1822,1850,0,2,2,3,1,Ex,6,8,Typ,1,Gd,Attchd,2005,RFn,3,TA,TA,Y,0,119,119,0,No Pool,No Fence,None,0,2,2010,WD,Normal,5,4,4562,3644
1480,20,RL,110,14300,Pave,No Alley Access,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,1473,2846,GasA,Ex,Y,SBrkr,2696,0,2696,4069,1,2.5,3.5,3,1,Ex,8,10,Typ,2,Gd,Attchd,2003,Fin,3,TA,TA,Y,220,150,150,0,No Pool,No Fence,None,0,6,2010,WD,Normal,7,6,7595,5542
1481,60,RL,105,13650,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,1093,1671,GasA,Ex,Y,SBrkr,1687,563,2250,2828,1,2.5,3.5,3,1,Gd,8,7,Typ,1,Ex,Attchd,2002,Fin,3,TA,TA,Y,238,130,130,0,No Pool,No Fence,None,0,6,2010,WD,Normal,8,8,4909,3921
1482,120,RL,41,7132,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,1394,0,2,2,2,1,Gd,5,6,Typ,1,Gd,Attchd,2006,RFn,2,TA,TA,Y,120,49,49,0,No Pool,No Fence,None,0,4,2010,WD,Normal,4,4,3402,2740
1483,20,RL,100,18494,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1324,1324,GasA,Ex,Y,SBrkr,1324,0,1324,1324,0,2,2,3,1,Gd,6,6,Typ,0,No Fireplace,Attchd,2005,Fin,2,TA,TA,Y,36,23,23,0,No Pool,No Fence,None,0,1,2010,WD,Normal,5,5,3078,2648
1484,120,RL,43,3203,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,1129,1145,GasA,Ex,Y,SBrkr,1145,0,1145,1161,0,2,2,2,1,Gd,5,6,Typ,0,No Fireplace,Attchd,2006,Fin,2,TA,TA,Y,100,116,116,0,No Pool,No Fence,None,0,1,2010,WD,Normal,4,4,2741,2290
1485,80,RL,67,13300,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,58,384,GasA,Ex,Y,SBrkr,744,630,1374,1700,1,2.5,3.5,3,1,Gd,8,7,Typ,1,Gd,BuiltIn,2004,Fin,2,TA,TA,Y,100,0,0,0,No Pool,No Fence,None,0,6,2010,WD,Normal,6,6,2158,1758
1486,60,RL,63,8577,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,847,847,GasA,Ex,Y,SBrkr,847,886,1733,1733,0,2.5,2.5,3,1,Gd,7,7,Typ,1,Gd,BuiltIn,2004,Fin,2,TA,TA,Y,144,48,48,0,No Pool,No Fence,None,0,4,2010,WD,Normal,6,6,3013,2580
1487,60,RL,60,17433,Pave,No Alley Access,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,1629,1629,GasA,Ex,Y,SBrkr,1645,830,2475,2475,0,2.5,2.5,4,1,Gd,8,7,Typ,1,TA,Attchd,1998,Fin,3,TA,TA,Y,23,172,428,0,No Pool,No Fence,None,0,1,2010,WD,Normal,12,12,5180,4104
1488,20,RL,73,8987,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,TA,PConc,Gd,TA,No Basement,Unf,0,Unf,1595,1595,GasA,Ex,Y,SBrkr,1595,0,1595,1595,0,2,2,2,1,Gd,5,6,Typ,1,Gd,Attchd,2005,RFn,3,TA,TA,Y,144,0,0,0,No Pool,No Fence,None,0,5,2010,WD,Normal,5,4,4296,3190
1489,20,FV,92,9215,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1218,1218,GasA,Ex,Y,SBrkr,1218,0,1218,1218,0,2,2,2,1,Gd,5,4,Typ,0,No Fireplace,Attchd,2009,RFn,2,TA,TA,Y,0,136,136,0,No Pool,No Fence,None,0,4,2010,New,Partial,1,0,3112,2436
1490,20,FV,84,10440,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1414,Unf,54,1468,GasA,Ex,Y,SBrkr,1468,0,1468,2882,1,2,3,2,1,Gd,6,6,Typ,1,Gd,Attchd,2005,Fin,2,TA,TA,Y,0,102,318,0,No Pool,No Fence,None,0,5,2010,WD,Normal,5,5,3464,2936
1491,60,RL,70,11920,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,831,831,GasA,Ex,Y,SBrkr,831,828,1659,1659,0,2.5,2.5,3,1,Gd,7,8,Typ,0,No Fireplace,Attchd,2004,RFn,2,TA,TA,Y,144,68,68,0,No Pool,No Fence,None,0,4,2010,WD,Normal,6,6,3096,2490
1492,30,RH,70,9800,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,816,816,GasA,TA,N,FuseA,1012,0,1012,1012,0,1,1,2,1,TA,4,5,Typ,0,No Fireplace,Detchd,1920,Unf,1,TA,TA,Y,121,0,80,0,No Pool,No Fence,None,0,4,2010,WD,Normal,90,60,2257,1828
1493,20,RL,39,15410,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250,TA,Gd,CBlock,TA,TA,Gd,BLQ,126,GLQ,223,1208,GasA,Ex,Y,SBrkr,1494,0,1494,2479,1,2,3,3,1,TA,7,7,Typ,2,Fa,Attchd,1974,Fin,2,TA,TA,Y,296,0,186,0,No Pool,GdPrv,None,0,4,2010,WD,Abnorml,36,8,3413,2702
1494,60,RL,85,13143,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504,Gd,TA,PConc,Gd,TA,No,LwQ,250,GLQ,0,1231,GasA,Ex,Y,SBrkr,1251,1098,2349,3580,1,2.5,3.5,4,1,Gd,9,9,Typ,1,TA,Attchd,1993,RFn,3,TA,TA,Y,32,130,130,0,No Pool,No Fence,None,0,6,2010,WD,Normal,17,17,4846,3580
1495,60,RL,88,11134,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180,Gd,TA,PConc,Gd,TA,No,GLQ,1129,Unf,261,1390,GasA,Ex,Y,SBrkr,1402,823,2225,3354,1,2.5,3.5,4,1,Gd,9,7,Typ,1,TA,Attchd,1992,RFn,3,TA,TA,Y,198,30,30,0,No Pool,No Fence,None,0,6,2010,WD,Normal,18,17,4508,3615
1496,120,FV,25,4835,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298,Unf,190,1488,GasA,Ex,Y,SBrkr,1488,0,1488,2786,1,2,3,2,1,Gd,6,6,Typ,1,Gd,Attchd,2004,Fin,2,TA,TA,Y,168,50,50,0,No Pool,No Fence,None,0,3,2010,WD,Normal,6,5,3482,2976
1497,160,FV,39,3515,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,840,840,GasA,Ex,Y,SBrkr,840,840,1680,1680,0,2.5,2.5,2,1,Gd,6,3,Typ,0,No Fireplace,Attchd,2004,RFn,2,TA,TA,Y,0,111,111,0,No Pool,No Fence,None,0,1,2010,WD,Normal,6,6,3108,2520
1498,160,FV,30,3215,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120,Gd,TA,PConc,Gd,TA,Av,GLQ,280,Unf,320,600,GasA,Ex,Y,SBrkr,600,600,1200,1480,0,2.5,2.5,2,1,Gd,6,4,Typ,0,No Fireplace,Detchd,2004,RFn,2,TA,TA,Y,0,172,172,0,No Pool,No Fence,None,0,4,2010,ConLD,Normal,6,6,2400,1800
1499,160,FV,24,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsI,2Story,7,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,368,ALQ,190,600,GasA,Ex,Y,SBrkr,600,600,1200,1610,1,2.5,3.5,2,1,Gd,7,4,Typ,0,No Fireplace,Detchd,2004,RFn,2,TA,TA,Y,0,172,172,0,No Pool,No Fence,None,0,2,2010,WD,Normal,6,5,2280,1800
1500,160,FV,24,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsI,2Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,Gd,TA,PConc,Gd,TA,No,GLQ,376,Unf,224,600,GasA,Ex,Y,SBrkr,600,636,1236,1612,1,2.5,3.5,2,1,Gd,7,4,Typ,0,No Fireplace,Detchd,2005,RFn,2,TA,TA,Y,0,166,166,0,No Pool,No Fence,None,0,5,2010,WD,Normal,5,5,2532,1836
1501,160,FV,0,2980,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159,Gd,TA,PConc,Gd,TA,No,GLQ,466,Unf,290,756,GasA,Ex,Y,SBrkr,756,756,1512,1978,1,2.5,3.5,2,1,Gd,7,5,Typ,0,No Fireplace,Detchd,2000,Unf,2,TA,TA,Y,0,32,32,0,No Pool,No Fence,None,0,5,2010,WD,Normal,10,10,3867,2268
1502,160,FV,0,2403,Pave,No Alley Access,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,244,Unf,286,530,GasA,Ex,Y,SBrkr,530,550,1080,1324,0,2.5,2.5,2,1,Gd,6,4,Typ,0,No Fireplace,Attchd,2003,RFn,2,TA,TA,Y,0,50,50,0,No Pool,No Fence,None,0,6,2010,WD,Normal,7,7,2106,1610
1503,20,FV,57,12853,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2010,2010,Gable,CompShg,CemntBd,CemntBd,None,0,Gd,TA,PConc,Ex,Po,No,GLQ,1032,Unf,610,1642,GasA,Ex,Y,SBrkr,1418,0,1418,2450,1,1.5,2.5,1,1,Gd,5,6,Typ,1,Gd,Attchd,2010,RFn,3,TA,TA,Y,160,192,416,0,No Pool,No Fence,None,0,4,2010,New,Partial,0,0,3912,3060
1504,60,FV,68,7379,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,484,Unf,491,975,GasA,Ex,Y,SBrkr,975,873,1848,2332,1,2.5,3.5,3,1,Gd,8,7,Typ,1,TA,Attchd,2000,RFn,2,TA,TA,Y,280,184,184,0,No Pool,No Fence,None,0,4,2010,WD,Normal,10,10,3415,2823
1505,20,FV,80,8000,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,833,Unf,659,1492,GasA,Ex,Y,SBrkr,1492,0,1492,2325,1,2,3,3,1,Gd,7,6,Typ,1,Gd,Attchd,2002,RFn,2,TA,TA,Y,277,137,137,0,No Pool,No Fence,None,0,4,2010,WD,Normal,8,8,3580,2984
1506,20,RL,0,10456,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120,TA,TA,CBlock,TA,TA,No,GLQ,506,Unf,1323,1829,GasA,Gd,Y,SBrkr,1829,0,1829,2335,1,2,3,4,1,TA,8,8,Typ,0,No Fireplace,Attchd,1967,RFn,2,TA,TA,Y,0,76,76,0,No Pool,No Fence,None,0,5,2010,WD,Normal,43,43,4313,3658
1507,60,RL,80,10791,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,Gd,TA,Mn,GLQ,1137,Unf,143,1280,GasA,Ex,Y,SBrkr,1280,1215,2495,3632,1,2.5,3.5,4,1,Gd,9,9,Typ,1,TA,Attchd,1993,Unf,2,TA,TA,Y,224,32,32,0,No Pool,No Fence,None,0,3,2010,WD,Normal,17,17,4435,3775
1508,50,RL,0,18837,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,6,1978,1978,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,Gd,TA,Mn,ALQ,687,LwQ,491,1224,GasA,TA,Y,SBrkr,1287,604,1891,2624,0,3,3.5,3,1,TA,8,7,Typ,1,TA,Attchd,1978,RFn,2,TA,TA,Y,0,69,69,0,No Pool,No Fence,None,0,4,2010,WD,Normal,32,32,3793,3115
