Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,agebyyrbuilt,agebyyrremodel,OA2,TotalGrBsmtSF,SalePrice
11,20,RL,70,11200,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1946,1,1,2,3,1,TA,6,5,Typ,0,No Fireplace,Detchd,1965,Unf,1,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,2,2008,WD,Normal,43,43,2464,2080,129500
12,60,RL,85,11924,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,2005,2006,Hip,CompShg,WdShing,Wd Sdng,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,177,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,3322,1,3,4,4,1,Ex,9,11,Typ,2,Gd,BuiltIn,2005,Fin,3,TA,TA,Y,147,21,21,0,No Pool,No Fence,None,0,7,2006,New,Partial,1,0,4521,3499,345000
13,20,RL,0,12968,Pave,No Alley Access,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,175,912,GasA,TA,Y,SBrkr,912,0,912,1649,1,1,2,2,1,TA,5,4,Typ,0,No Fireplace,Detchd,1962,Unf,1,TA,TA,Y,140,0,176,0,No Pool,No Fence,None,0,9,2008,WD,Normal,46,46,2176,1824,144000
14,20,RL,91,10652,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,1494,0,2,2,3,1,Gd,6,7,Typ,1,Gd,Attchd,2006,RFn,3,TA,TA,Y,160,33,33,0,No Pool,No Fence,None,0,8,2007,New,Partial,1,0,4134,2988,279500
15,20,RL,0,10920,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,6,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,1986,1,1.5,2.5,2,1,TA,6,5,Typ,1,Fa,Attchd,1960,RFn,1,TA,TA,Y,0,213,389,0,No Pool,GdWo,None,0,5,2008,WD,Normal,48,48,3070,2506,157000
16,45,RM,51,6120,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,832,832,GasA,Ex,Y,FuseA,854,0,854,854,0,1,1,2,1,TA,4,5,Typ,0,No Fireplace,Detchd,1991,Unf,2,TA,TA,Y,48,112,112,0,No Pool,GdPrv,None,0,7,2007,WD,Normal,78,6,2262,1686,132000
17,20,RL,0,11241,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,Names,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1582,1,1,2,2,1,TA,5,5,Typ,1,TA,Attchd,1970,Fin,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,Shed,700,3,2010,WD,Normal,40,40,2668,2008,149000
18,90,RL,72,10791,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplx,1Story,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,GasA,TA,Y,SBrkr,1296,0,1296,1296,0,2,2,2,2,TA,6,6,Typ,0,No Fireplace,CarPort,1967,Unf,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,Shed,500,10,2006,WD,Normal,39,39,1812,1296,90000
19,20,RL,66,13695,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1760,1,1.5,2.5,3,1,Gd,7,6,Typ,0,No Fireplace,Detchd,2004,Unf,2,TA,TA,Y,0,102,102,0,No Pool,No Fence,None,0,6,2008,WD,Normal,4,4,2804,2228,159000
20,20,RL,70,7560,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,1843,0,1,1,3,1,TA,5,6,Min1,0,No Fireplace,Attchd,1958,Unf,1,TA,TA,Y,0,0,0,0,No Pool,MnPrv,None,0,5,2009,COD,Abnorml,51,44,2662,2368,139000
21,60,RL,101,14215,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,2376,0,3.5,3.5,4,1,Gd,9,9,Typ,1,Gd,BuiltIn,2005,RFn,3,TA,TA,Y,240,154,154,0,No Pool,No Fence,None,0,11,2006,New,Partial,1,0,4767,3534,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,637,637,GasA,Ex,Y,FuseF,1108,0,1108,1108,0,1,1,3,1,Gd,5,6,Typ,1,Gd,Attchd,1930,Unf,1,TA,TA,N,0,0,205,0,No Pool,GdPrv,None,0,6,2007,WD,Normal,77,57,2025,1745,139400
23,20,RL,75,9742,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,1795,0,2,2,3,1,Gd,6,7,Typ,1,Gd,Attchd,2002,RFn,2,TA,TA,Y,171,159,159,0,No Pool,No Fence,None,0,9,2008,WD,Normal,6,6,4387,3572,230000
24,120,RM,44,4224,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,1976,1976,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,1900,1,1,2,3,1,TA,6,6,Typ,1,TA,Attchd,1976,Unf,2,TA,TA,Y,100,110,110,0,No Pool,No Fence,None,0,6,2007,WD,Normal,31,31,2672,2100,129900
25,20,RL,0,8246,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1916,1,1,2,3,1,Gd,6,6,Typ,1,TA,Attchd,1968,Unf,1,TA,TA,Y,406,90,90,0,No Pool,MnPrv,None,0,5,2010,WD,Normal,42,9,2390,2120,154000
26,20,RL,110,14230,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,1600,0,2,2,3,1,Gd,6,7,Typ,1,Gd,Attchd,2007,RFn,3,TA,TA,Y,0,56,56,0,No Pool,No Fence,None,0,7,2009,WD,Normal,2,2,4696,3166,256300
27,20,RL,60,7200,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,180,900,GasA,TA,Y,SBrkr,900,0,900,1620,0,1,1.5,3,1,Gd,6,5,Typ,0,No Fireplace,Detchd,2005,Unf,2,TA,TA,Y,222,32,32,0,No Pool,No Fence,None,0,5,2010,WD,Normal,59,10,2376,1800,134800
28,20,RL,98,11478,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,2922,1,2,3,3,1,Gd,7,7,Typ,1,Gd,Attchd,2008,RFn,3,TA,TA,Y,0,50,50,0,No Pool,No Fence,None,0,5,2010,WD,Normal,3,2,4380,3408,306000
29,20,RL,47,16321,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,Names,Norm,Norm,1Fam,1Story,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,2877,1,1,2,2,1,TA,5,6,Typ,2,Gd,Attchd,1957,RFn,1,TA,TA,Y,288,258,258,0,No Pool,No Fence,None,0,12,2006,WD,Normal,49,9,3403,3084,207500
30,30,RM,60,6324,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,GasA,Fa,N,SBrkr,520,0,520,520,0,1,1,1,1,Fa,3,4,Typ,0,No Fireplace,Detchd,1920,Unf,1,Fa,TA,Y,49,0,87,0,No Pool,No Fence,None,0,5,2008,WD,Normal,81,58,1280,1040,68500
31,70,C,50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,GasA,TA,N,SBrkr,649,668,1317,1317,0,1,1,3,1,TA,5,6,Typ,0,No Fireplace,Detchd,1920,Unf,1,TA,Fa,N,0,54,226,0,No Pool,MnPrv,None,0,7,2008,WD,Normal,88,58,2216,1966,40000
32,20,RL,0,8544,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,1228,0,1.5,1.5,3,1,Gd,6,6,Typ,0,No Fireplace,Attchd,1966,Unf,1,TA,TA,Y,0,65,65,0,No Pool,MnPrv,None,0,6,2008,WD,Normal,42,2,2727,2456,149350
33,20,RL,85,11049,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,1234,0,2,2,3,1,Gd,6,7,Typ,0,No Fireplace,Attchd,2007,RFn,2,TA,TA,Y,0,30,30,0,No Pool,No Fence,None,0,1,2008,WD,Normal,1,1,2952,2468,179900
34,20,RL,70,10552,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,2718,0,1.5,2,4,1,Gd,8,6,Typ,1,Gd,Attchd,1959,RFn,2,TA,TA,Y,0,38,38,0,No Pool,No Fence,None,0,4,2010,WD,Normal,51,51,3545,3098,165500
35,120,RL,60,7313,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2714,1,2,3,2,1,Ex,6,6,Typ,1,Gd,Attchd,2005,Fin,2,TA,TA,Y,203,47,47,0,No Pool,No Fence,None,0,8,2007,WD,Normal,2,2,3924,3122,277500
36,60,RL,108,13418,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,2452,0,3.5,3.5,4,1,Gd,9,9,Typ,1,Gd,BuiltIn,2004,Fin,3,TA,TA,Y,113,32,32,0,No Pool,No Fence,None,0,9,2006,WD,Normal,2,1,4392,3569,309000
37,20,RL,112,10859,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,1097,0,1.5,1.5,3,1,TA,6,6,Typ,0,No Fireplace,Attchd,1995,Unf,2,TA,TA,Y,392,64,64,0,No Pool,No Fence,None,0,6,2009,WD,Normal,15,14,2866,2194,145000
38,20,RL,74,8532,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,2510,0,1,1.5,3,1,TA,6,5,Typ,1,TA,Attchd,1954,Fin,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,10,2009,WD,Normal,55,19,3742,2594,153000
39,20,RL,68,7922,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,1788,1,1,2,3,1,Gd,6,5,Typ,0,No Fireplace,Detchd,1953,Unf,1,TA,TA,Y,0,52,52,0,No Pool,No Fence,None,0,1,2010,WD,Abnorml,57,3,2360,2114,109000
40,90,RL,65,6040,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplx,1Story,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,GasA,TA,N,FuseP,1152,0,1152,1152,0,2,2,2,2,Fa,6,6,Typ,0,No Fireplace,No Garage,2022,No Garage,0,No Garage,No Garage,N,0,0,0,0,No Pool,No Fence,None,0,6,2008,WD,AdjLand,53,53,1152,1152,82000
41,20,RL,84,8658,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,1967,0,2,2,3,1,TA,6,6,Typ,1,TA,Attchd,1965,RFn,2,TA,TA,Y,0,138,138,0,No Pool,GdWo,None,0,12,2006,WD,Abnorml,41,41,2953,2412,160000
42,20,RL,115,16905,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,2295,0,1.5,2,2,1,TA,6,5,Typ,2,Gd,Attchd,1959,RFn,1,TA,TA,P,0,104,104,0,No Pool,No Fence,None,0,7,2007,WD,Normal,48,48,2986,2678,170000
43,85,RL,0,9180,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,0,840,GasA,Gd,Y,SBrkr,884,0,884,1724,1,1,2,2,1,Gd,5,5,Typ,0,No Fireplace,Attchd,1983,RFn,2,TA,Gd,Y,240,0,0,0,No Pool,MnPrv,None,0,12,2007,WD,Normal,24,24,2228,1724,144000
44,20,RL,0,9200,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,167,938,GasA,TA,Y,SBrkr,938,0,938,1709,1,1,2,3,1,TA,6,5,Typ,0,No Fireplace,Detchd,1977,Unf,1,TA,TA,Y,145,0,0,0,No Pool,MnPrv,None,0,7,2008,WD,Normal,33,28,2184,1876,130250
45,20,RL,70,7945,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,1835,1,1,2,3,1,TA,6,6,Typ,0,No Fireplace,Attchd,1959,RFn,1,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,5,2006,WD,Normal,47,47,2600,2300,141000
46,120,RL,61,7658,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2208,1,2,3,2,1,Ex,6,6,Typ,1,Gd,Attchd,2005,RFn,2,TA,TA,Y,196,82,82,0,No Pool,No Fence,None,0,2,2010,WD,Normal,5,5,4492,3504,319900
47,50,RL,48,12822,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,83,1434,GasA,Ex,Y,SBrkr,1518,631,2149,3500,1,1.5,2.5,1,1,Gd,5,6,Typ,1,Ex,Attchd,2003,RFn,2,TA,TA,Y,168,43,241,0,No Pool,No Fence,None,0,8,2009,WD,Abnorml,6,6,4253,3583,239686
